BA	bee0
BAA	baa0
BAADEN	baa0 deen2
BAAED	baat1
BAAING	baa0 ing2
BAAS	baas3
BAAS	baas3
BABBLE	bxxp3 bql2
BABBLED	bxxp3 bql2
BABBLEMENT	bxxp3 bql2 men3
BABBLER	bxxp3 blqq2
BABBLERS	bxxp3 blqs2
BABBLES	bxxp3 bql2
BABBLING	bxxp3 bling2
BABBLINGLY	bxxp3 bling2 lii2
BABBLINGS	bxxp3 bling0
BABBLISH	bxxp3 blich1
BABBLISHLY	bxxp3 blich3 lii2
BABE	beep3
BABEES	beep3
BABEL	bee0 bql2
BABELS	bee0 bql2
BABER	bee0 bqq2
BABERS	bee0 bqq2
BABES	beep3
BABIED	bee0 bit1
BABIES	bee0 bis3
BABOO	baa0 buu0
BABOON	bqq0 buun0
BABOONERY	bqq0 buun0 nq1 rii2
BABOONS	bqq0 buun0
BABOOS	baa0 buus3
BABS	bxxp3
BABU	baa0 buu0
BABUS	baa0 buus3
BABY	bee0 bii2
BABYHOOD	bee0 bii2 huut3
BABYHOODS	bee0 bii2 huut3
BABYING	bee0 bii2 ing2
BABYISH	bee0 bii2 ich1
BABYLONIA	bxx0 bil0 loo0 niia0
BABYLONIAN	bxx0 bil0 l@@0 niian2
BABYLONIANS	bxx0 bil0 l@@0 niian2
BABYSAT	bee0 biis2 sxt3
BABYSIT	bee0 biis2 sit1
BABYSITS	bee0 biis2 sit1
BABYSITTER	bee0 biis2 sit3 tqq2
BABYSITTERS	bee0 biis2 sit3 tqq2
BABYSITTING	bee0 biis2 sit3 ting2
BACCA	bxk3 kqq2
BACCALAUREATE	bxk3 khql2 l@@0 riiat1
BACCALAUREATES	bxk3 khql2 l@@0 riiat1
BACCARA	bxk3 kqq0 raa2
BACCARAT	bxk3 kqq0 raa2
BACCARATS	bxk3 kqq0 raas2
BACCHANAL	bxk3 kqn2 nql2
BACCHANALIA	bxk3 kqn2 nee0 liia0
BACCHANALIAN	bxk3 kqn2 nee0 liian2
BACCHANALIAN	bxk3 kqn2 nee0 liian2
BACCHANALIANISM	bxk3 kqn2 nee0 liian0 nis3 svm2
BACCHANALIANS	bxk3 kqn2 nee0 liian2
BACCHANALIANS	bxk3 kqn2 nee0 liian2
BACCHANALIAS	bxk3 kqn2 nee0 liias2
BACCHANALS	bxk3 kqn2 nql2
BACCHANT	bxk3 kqn2
BACCHANTE	bqq0 kxxn0 thii2
BACCHANTES	bxk3 kqn2
BACCHANTES	bqq0 kxxn0 thii2
BACCHANTS	bxk3 kqn2
BACCHIC	bxk3 khik1
BACCHICAL	bxk3 khi3 khql2
BACCY	bxk3 kii2
BACHE	bxk3
BACHE	bxch3
BACHELDER	bxch3 cheel0 dqq2
BACHELOR	bxch3 chqq0 lqq2
BACHELOR	bxch3 chqq0 lqq2
BACHELORHOOD	bxch3 chqq0 lq1 huut3
BACHELORS	bxch3 chqq0 lqs2
BACHELORSHIP	bxch3 chqq0 lq1 chip3
BACHER	bxk3 kqq2
BACHES	bxk3
BACHES	bxch3 ches1
BACILLAR	bqq0 sil0 lqq2
BACILLARIS	bqq0 sil0 lq1 ris1
BACILLARY	bqq0 sil0 lq1 rii2
BACILLI	bqq0 sil0 laaj0
BACILLIN	bqq0 sil0 lin2
BACILLUS	bqq0 sil0 lqs2
BACK	bxk3
BACKACHE	bxk3 kheek1
BACKACHES	bxk3 kheek1
BACKBACKS	bxk3 bxk3
BACKBAND	bxk3 bxxn0
BACKBANDS	bxk3 bxxn0
BACKBAR	bxk3 baa0
BACKBARS	bxk3 baas2
BACKBENCH	bxk3 been3
BACKBENCHER	bxk3 been3 chqq2
BACKBENCHERS	bxk3 been3 chqq2
BACKBENCHES	bxk3 been3 ches1
BACKBEND	bxk3 been0
BACKBENDS	bxk3 been0
BACKBIT	bxk3 bit1
BACKBITE	bxk3 baaj3
BACKBITER	bxk3 baaj3 tqq2
BACKBITERS	bxk3 baaj3 tqq2
BACKBITES	bxk3 baaj3
BACKBITING	bxk3 baaj3 ting2
BACKBITINGLY	bxk3 baaj3 ting2 lii2
BACKBITTEN	bxk3 bit3 thqn2
BACKBITTEN	bxk3 bit3 then3
BACKBOARD	bxk3 b@@t1
BACKBOARDS	bxk3 b@@t1
BACKBONE	bxk3 b@@n0
BACKBONED	bxk3 b@@n0
BACKBONELESS	bxk3 b@@n0 lis1
BACKBONELESSNESS	bxk3 b@@n0 lis1 nees1
BACKBONES	bxk3 b@@n0
BACKBREAKING	bxk3 breek3 king2
BACKBURN	bxk3 bqqn0
BACKBURNER	bxk3 bqqn0 nqq2
BACKBURNERED	bxk3 bqqn0 neet1
BACKBURNING	bxk3 bqqn0 ning2
BACKBURNS	bxk3 bqqn0
BACKCHAT	bxk3 chxt3
BACKCLOTH	bxk3 khloot3
BACKCLOTHED	bxk3 khloot3
BACKCLOTHS	bxk3 khloot3
BACKCOURT	bxk3 kh@@t1
BACKCOURTS	bxk3 kh@@t1
BACKCROSS	bxk3 khr@s3
BACKDATE	bxk3 deet1
BACKDATED	bxk3 deet3 thet1
BACKDATES	bxk3 deet1
BACKDATING	bxk3 deet1 ting2
BACKDOOR	bxk3 d@@0
BACKDOOR	bxk3 d@@0
BACKDOORS	bxk3 d@@0
BACKDOWN	bxk3 daaw0
BACKDROP	bxk3 dr@p1
BACKDROPPED	bxk3 dr@p1
BACKDROPS	bxk3 dr@p1
BACKED	bxk3
BACKEDS	bxk3
BACKEN	bxk3 kheen0
BACKEND	bxk3 kheen0
BACKENDED	bxk3 kheen0 det1
BACKER	bxk3 kqq2
BACKERS	bxk3 kqq2
BACKES	bxk3
BACKFIELD	bxk3 fiil0
BACKFIELDS	bxk3 fiil0
BACKFILL	bxk3 fil0
BACKFILLED	bxk3 fil0
BACKFILLS	bxk3 fil0
BACKFIRE	bxk3 faaj0 qq2
