DA	daa0
DAB	dxp3
DABBED	dxp3
DABBER	dxp3 bqq2
DABBERS	dxp3 bqq2
DABBING	dxp3 bing2
DABBINGS	dxp3 bing2
DABBLE	dxp3 bql2
DABBLED	dxp3 bql2
DABBLER	dxp3 blqq2
DABBLERS	dxp3 blqq2
DABBLES	dxp3 bql2
DABBLING	dxp3 bling2
DABBLINGLY	dxp3 bling2 lii2
DABBLINGNESS	dxp3 bling0 nees1
DABBLINGS	dxp3 bling2
DABCHICK	dxp3 chik3
DABCHICKS	dxp3 chik3
DABS	dxp3
DACCA	dxk3 kaa2
DACE	dxxs3
DACES	dxxs3 ses1
DACHA	dxch3 chaa2
DACHAS	dxch3 chaas2
DACHSHUND	dxch3 chuun3
DACHSHUNDS	dxch3 chuun3
DACIAN	daa0 chiian2
DACIANS	daa0 chiian2
DACOIT	dql0 khooj3
DACOITAGE	dql0 khooj3 thech1
DACOITIES	dql0 khooj3 tii2
DACOITS	dql0 khooj3
DACOITY	dql0 khooj3 ti2
DACTYL	dxk3 thaaj0
DACTYLIC	dxk3 thi1 lik1
DACTYLICALLY	dxk3 thi1 li1 kh@l0 lii2
DACTYLOGRAM	dxk3 thi1 loo1 krxxm0
DACTYLOGRAPHY	dxk3 thi1 loo1 kraaf3 fii2
DACTYLS	dxk3 thaaj0
DAD	dxxt3
DADDIE	dxxt3 dii3
DADDIES	dxxt3 diis3
DADDIN	dxxt3 din2
DADDINGTON	dxxt3 ding0 tan2
DADDLE	dxxt3 dql2
DADDLING	dxxt3 dling2
DADDONA	dxxt3 d@@0 naa2
DADDY	dxxt3 dii2
DADDYS	dxxt3 dii2
DADELAND	dxxt3 lxxn0
DADELY	dxxt3 lii2
DADFAR	dxxt3 faa0
DADFORD	dxxt3 f@@t1
DADIAN	dxxt3 diian2
DADO	dee0 doo2
DADOED	dee0 doo2
DADOES	dee0 doos2
DADOING	dee0 doo0 ing2
DADOS	dee0 doos2
DADS	dxxt3
DAEMON	dee0 m@@n2
DAEMONETTE	dee0 m@@n0 neet1
DAEMONETTES	dee0 m@@n0 neet1
DAEMONIC	dee0 moo0 nik1
DAEMONITES	dee0 moo0 naj3
DAEMONOLOGIST	dee0 moo0 noo0 loo0 cis3
DAEMONS	dee0 m@@n2
DAEMONY	dee0 moo0 nii2
DAFFADOWNDILLY	def3 faa0 daaw0 dil0 lii2
DAFFER	def3 fq2
DAFFODIL	def3 foo0 dil0
DAFFODILLY	def3 foo0 dil0 lii2
DAFFODILS	def3 foo0 dil0
DAFT	daaf3 
DAFTER	daaf3 tq2
DAFTEST	daaf3 thes1
DAFTLIKE	daaf3 laj3
DAFTLY	daaf3 lii2
DAFTNESS	daaf3 nees1
DAG	dxk3
DAGER	dxk3 kqq2
DAGGER	dxk3 khqq2
DAGGERED	dxk3 khqq2
DAGGERS	dxk3 khqq2
DAGGET	dxk3 ket2
DAGLEY	dxk3 lee2
DAGLEYS	dxk3 lees1
DAGMAN	dxk3 mxxn0
DAGMAR	dxk3 maa2
DAGO	daa0 koo2
DAGOBA	dxk3 koo0 baa2
DAGOBAS	dxk3 koo0 baas2
DAGOES	dxk3 koo2
DAGOS	dxk3 koo2
DAGUERREOTYPE	dxk3 kqq0 rii0 oo0 thaaj3
DAGUERREOTYPED	dxk3 kqq0 rii0 oo0 thaaj3
DAGUERREOTYPER	dxk3 kqq0 rii0 oo0 thaaj3 pqq2
DAGUERREOTYPES	dxk3 kqq0 rii0 oo0 thaaj3 
DAGUERREOTYPING	dxk3 kqq0 rii0 oo0 thaaj3 ping2
DAGUERREOTYPIST	dxk3 kqq0 rii0 oo0 thaaj3 phis2
DAGUERREOTYPISTS	dxk3 kqq0 rii0 oo0 thaaj3 phis2
DAGUERREOTYPY	dxk3 kqq0 rii0 oo0 thaaj3 phii2
DAGUERROTYPE	dxk3 kqq0 roo0 thaaj3
DAGUERROTYPES	dxk3 kqq0 roo0 thaaj3
DAGWELL	dxk3 weel0
DAGWOOD	dxk3 wuut3
DAHLIA	deel0 liia0
DAHLIAS	deel0 liia0 as3
DAIL	deel0
DAILIES	deel0 lis3
DAILINESS	deel0 li3 nees1
DAILING	deel0 ling2
DAILLIE	deel0 laaj1
DAILY	deel0 lii2
DAILYS	deel0 lii2
DAINED	daa0 iin0
DAINES	daa0 iin0
DAINS	deen0
DAINSBERG	deen0 bqqk1
DAINTIER	deen0 thaaj0 qq2
DAINTIES	deen0 thaaj0
DAINTIEST	deen0 thaaj0 es1
DAINTILY	deen0 thil0 lii2
