E	ee0 
EACH	iich3
EACHED	iich3
EACHES	iich3 ches1
EACHING	iich3 ching2
EAGER	ee0 kqq2
EAGERER	ee0 kqq0 rqq2
EAGEREST	ee0 kqq2 rees3
EAGERLY	ee0 kqq2 lii2
EAGERNESS	ee0 kqq2 nees1
EAGERS	ee0 kqq2
EAGLE	ee0 kql2
EAGLEBAY	ee0 kql0 bee0
EAGLEBERGER	ee0 kql0 bqq0 kqq2
EAGLED	ee0 kql2
EAGLEMAN	ee0 kql0 mxxn0
EAGLEMANN	ee0 kql0 mxxn0
EAGLEN	ee0 kleen0
EAGLENEST	ee0 kleen0 nees1
EAGLES	ee0 kql2
EAGLESCLIFFE	ee0 kql0 khlif3 
EAGLESON	ee0 kql0 san0
EAGLESTAFF	ee0 kql0 sa1 taaf3 
EAGLESTON	ee0 kql0 sa1 tan1
EAGLET	ee0 klet1
EAGLETON	ee0 kql1 tan2
EAGLETOWN	ee0 kql1 thaaw0
EAGLETS	ee0 klet1
EAGLEWOOD	ee0 kql0 wuut3
EAGLIN	ee0 klin2
EAGLING	ee0 kling2
EAGRE	ee0 kqq2
EALING	ee0 ling2
EAR	iia0
EARACHE	iia0 raach3
EARACHES	iia0 raach3 ches1
EARDROP	iia0 dr@p1
EARDROPPER	iia0 dr@p3 pqq2
EARDROPS	iia0 dr@p1
EARDRUM	iia0 dram0
EARDRUMS	iia0 dram0
EARED	iia0
EARFLAP	iia0 flxp1
EARFLAPS	iia0 flxp1
EARFUL	iia0 fuul0
EARFULS	iia0 fuul0
EARHARD	iia0 haat3
EARHART	iia0 haat3
EARING	iia0 ring2
EARINGS	iia0 ring2
EARL	qql2
EARLAPS	qql0 lxxp1
EARLDOM	qql0 d@m2
EARLDOMS	qql0 d@m2
EARLER	qql0 lqq2
EARLES	qql0 lees1
EARLESS	qql0 les1
EARLEY	qql0 lee2
EARLIE	qql2 lii2
EARLIER	qql0 li1 qq2
EARLIES	qql2 lii2
EARLIEST	qql0 li1 es1
EARLINE	qql0 laaj0
EARLING	qql0 ling2
EARLINGTON	qql0 ling0 tan1
EARLOBE	iia0 l@@p3
EARLOBES	iia0 l@@p3
EARLOCK	iia0 l@k3
EARLOCKS	iia0 l@k3
EARLS	qql2
EARLSHIP	qql0 chip2
EARLSHIPS	qql0 chip2
EARLY	qq0 lii2
EARLYS	qq0 lii2
EARLYWINE	qq0 lii1 waaj0
EARMAN	iia0 mxxn0
EARMARK	iia0 maak3
EARMARKED	iia0 maak3
EARMARKERS	iia0 maak3 kqq2
EARMARKING	iia0 maak3 king2
EARMARKINGS	iia0 maak3 king2
EARMARKS	iia0 maak3
EARMUFF	iia0 maf3 
EARMUFFS	iia0 maf3 
EARN	qqn0
EARNABLE	qqn0 ne1 bql2
EARNED	qqn0
EARNEDS	qqn0
EARNER	qqn0 nqq2
EARNERS	qqn0 nqq2
EARNEST	qqn0 nees1
EARNESTLY	qqn0 nees2 lii2
EARNESTNESS	qqn0 nees2 nees1
EARNESTS	qqn0 nees1
EARNHART	qqn0 haat3
EARNHEART	qqn0 haat3
EARNING	qqn0 ning2
EARNINGS	qqn0 ning2
EARNS	qqn0
EARNSHAW	qqn0 ch@@0
EARNSHAWS	qqn0 ch@@s1
EARPHONE	iia0 foon0
EARPHONED	iia0 foon0
EARPHONES	iia0 foon0
EARPIECE	iia0 phiis1
EARPIECES	iia0 phiis2 ses1
EARPLANES	iia0 pleen0
EARPLAY	iia0 plee1
EARPLUG	iia0 plak3
EARPLUGS	iia0 plak3
EARRING	iia0 ring0
EARRINGED	iia0 ring0
EARRINGLESS	iia0 ring0 les1
EARRINGS	iia0 ring0
EARS	iia0
EARSHOT	iia0 ch@t1
EARSHOTS	iia0 ch@t1
EARSPLITTING	iia0 sa1 plit3 ting2
EARTH	qqt3
EARTHBOUND	qqt3 baaw2
EARTHED	qqt3
EARTHEN	qqt3 ten1
EARTHENWARE	qqt3 ten1 wxx0
EARTHENWARES	qqt3 ten1 wxx0
EARTHIER	qqt3 thiia0
EARTHIEST	qqt3 thi1 es1
EARTHING	qqt3 ting2
EARTHLESS	qqt3 lees1
EARTHLIEST	qqt3 li1 es1
EARTHLING	qqt3 ling2
EARTHLINGS	qqt3 ling2
EARTHLINK	qqt3 ling2
EARTHLY	qqt3 lii2
