J	cee0
JAB	cxxp3
JABALPUR	caa0 bql0 puua0
JABBAR	cxxp3 baa2
JABBARI	cxxp3 baa0 rii2
JABBARS	cxxp3 baas3
JABBED	cxxp3
JABBER	cxxp3 bqq2
JABBERED	cxxp3 bqt1
JABBERER	cxxp3 bqq0 rqq2
JABBERERS	cxxp3 bqq0 rqqs2
JABBERING	cxxp3 bqq0 ring2
JABBERINGLY	cxxp3 bqq0 ring2 lii2
JABBERINGS	cxxp3 bqq0 ring2
JABBERMENT	cxxp3 bqq0 men3
JABBERMOUTHS	cxxp3 bqq0 maw3
JABBERS	cxxp3 bqq2
JABBING	cxxp3 bing2
JABBINGLY	cxxp3 bing0 lii2
JABER	cxxp3 bqq2
JABERS	cxxp3 bqq2
JABIRU	cxxp3 bi1 ruu0
JABLOW	cxxp3 loo2
JABORANDI	cxxp3 bqq0 rxxn0 dii2
JABOT	cxxp3 b@@t1
JABOTS	cxxp3 b@@11
JABS	cxxp3
JACINTH	cxx0 sin3
JACINTHE	cxx0 sin3
JACINTHS	cxx0 sin3
JACINTO	cxx0 sin0 tuu2
JACINTOS	cxx0 sin0 tuus2
JACK	cxk3
JACKAL	cxk3 khoo02
JACKALS	cxk3 khoo02
JACKANAPES	cxk3 khqn2 neep3
JACKANAPESES	cxk3 khqn2 neep3 ses1
JACKASS	cxk3 xxs3
JACKASSES	cxk3 xxs3 ses1
JACKBIRD	cxk3 bqqt3
JACKBOOT	cxk3 buut3
JACKBOOTED	cxk3 buut3 thet1
JACKBOOTING	cxk3 buut3 ting2
JACKBOOTS	cxk3 buut3
JACKDAW	cxk3 d@@0
JACKDAWS	cxk3 d@@0
JACKED	cxk3
JACKER	cxk3 kqq2
JACKER	cxk3 kqq2
JACKERS	cxk3 kqq2
JACKET	cxk3 khit1
JACKETED	cxk3 khit3 thet1
JACKETING	cxk3 khit3 ting2
JACKETLESS	cxk3 kit3 les1
JACKETS	cxk3 khit1
JACKETTED	cxk3 kit3 theet1
JACKETTING	cxk3 khit3 ting2
JACKETY	cxk3 ki3 tii2
JACKFISH	cxk3 fich3
JACKFISHES	cxk3 fich3 ches1
JACKHAMMER	cxk3 hxxm0 mqq2
JACKHAMMERED	cxk3 hxxm0 mqt2
JACKHAMMERING	cxk3 hxxm0 mq1 ring2
JACKHAMMERS	cxk3 hxxm0 mqq2
JACKIE	cxk3 kii2
JACKIES	cxk3 kii2
JACKING	cxk3 king2
JACKINGS	cxk3 king2
JACKINS	cxk3 kin2
JACKKNIFE	cxk3 naj3
JACKKNIFED	cxk3 naj3
JACKKNIFES	cxk3 naj3
JACKKNIFING	cxk3 naj3 fing2
JACKKNIVES	cxk3 naj3
JACKLE	cxk3 khql2
JACKLEG	cxk3 lek3
JACKLEGS	cxk3 lek3
JACKLES	cxk3 les3
JACKLEY	cxk3 lee2
JACKLIN	cxk3 lin2
JACKLING	cxk3 ling2
JACKLYN	cxk3 lin2
JACKLYNNE	cxk3 lin2
JACKMAN	cxk3 mxxn0
JACKMANS	cxk3 mxxn0
JACKOS	cxk3 kh@@s3
JACKPOT	cxk3 p@t1
JACKPOTS	cxk3 p@t1
JACKRABBIT	cxk3 rxxp3 bit1
JACKRABBITS	cxk3 rxxp3 bit1
JACKROCK	cxk3 r@k3
JACKROCKS	cxk3 r@k3
JACKROLL	cxk3 roo0
JACKS	cxk3
JACKSAW	cxk3 soo2
JACKSCREW	cxk3 kruu0
JACKSCREWS	cxk3 kruu0
JACKSON	cxk3 san2
JACKSONIA	cxk3 soo0 niia0
JACKSONIAN	cxk3 san0 niian2
JACKSONS	cxk3 san2
JACKSONVILLE	cxk3 sqn2 wil0
JACKSTACK	cxk3 txk1
JACKSTADT	cxk3 txt1
JACKSTANDS	cxk3 txxn0
JACKSTAY	cxk3 tee0
JACKSTER	cxk3 tqq2
JACKSTONE	cxk3 toon0
JACKSTONES	cxk3 toon0
JACKSTRAW	cxk3 troo2
JACKSTRAWS	cxk3 troos2
JACOB	ceek3 khqp1
JACOBEAN	cxk3 khqp3 biian2
JACOBEANS	cxk3 khqp3 biian2
JACOBER	ceek3 khqp3 bqq2
JACOBIAN	cq1 kh@@p3 biian2
JACOBIANS	cq1 kh@@p3 biian2
JACOBIN	cxk3 khqp3 bin2
JACOBINIC	cxk3 khqp3 bin0 nik1
JACOBINICAL	cxk3 khqp3 bin0 ni3 khql2
JACOBINICALLY	cxk3 khqp3 bin0 ni3 khq1 lii2
JACOBINISM	cxk3 khqp3 bin0 nis3 svm2
JACOBINS	cxk3 khqp3 bin2
JACOBITE	cxk3 khqp3 baaj3
JACOBITES	cxk3 khqp3 baaj3
JACOBITISH	cxk3 khqp3 baaj3 tich3
JACOBITISHLY	cxk3 khqp3 baaj3 tich3 lii2
JACOBITISM	cxk3 khqp3 baaj3 this3 svm2
JACOBS	ceek3 khqp3
JACOBSD	ceek3 khqp3
JACOBSEN	ceek3 khqp3 sen2
JACOBSES	ceek3 khqp3 ses1
JACOBSON	ceek3 khqp3 san2
JACOBSONS	ceek3 khqp3 san2
JACOBUS	cq1 kh@@p3 bqq2
JACQUELINE	cxk3 khql0 liin0
JACQUELINES	cxk3 khql0 liin0
JACQUES	chxk3
JACTANT	cxk3 thxxn3
JACTATION	cxk3 thqq0 chan0
JACTITATE	cxk3 ti1 theet1
JACTITATION	cxk3 ti1 thqq0 chan0
JADE	ceet3
JADED	ceet3 det1
JADEDLY	ceet3 det1 lii2
