MAASTRICH	maa0 sa1 trich3
MAASTRICHT	maa0 sa1 trik1
MAASTRICKEN	maa0 sa1 trik3 khen2
MAASTRICT	maa0 sa1 trik1
MABEL	mee0 bel2
MABELLINE	mee0 beel0 liin0
MABELVILLE	mee0 beel0 wil0
MABLE	mee0 bql2
MABLEDON	mee0 bql0 d@n2
MABLES	mee0 bql2
MAC	mxk3
MACABE	mxk3 khee0 bii2
MACABEES	mxk3 khee0 bii2
MACABER	mxk3 khee0 bqq2
MACADAM	mxk3 khxx0 dam2
MACADAMED	mxk3 khxx0 dam2
MACADAMITE	mxk3 khxx0 da1 maj3
MACADAMIZATION	mxk3 khxx0 dq1 maj3 see0 chan2
MACADAMIZE	mxk3 khxx0 dq1 maj3
MACADAMIZED	mxk3 khxx0 dq1 maj3
MACADAMIZER	mxk3 khxx0 dq1 maj3 sqq2
MACADAMIZES	mxk3 khxx0 dq1 maj3 ses1
MACADAMIZING	mxk3 khxx0 dq1 maj3 sing2
MACADAMS	mxk3 khxx0 dam2
MACALE	mxk3 kheel0
MACALLAN	mxk3 khxxl0 lxn2
MACALLEN	mxk3 khxxl0 len2
MACALLISTER	mxk3 khxxl0 lis3 tqq2
MACALPIN	mxk3 khxxl0 phin0
MACALPINE	mxk3 khxxl0 paaj0
MACANA	mxk3 khaa0 naa2
MACANAS	mxk3 khaa0 naa2
MACANDAL	mxk3 khxxn0 d@l2
MACANDER	mxk3 khxxn0 dqq2
MACANDON	mxk3 khxxn0 d@n2
MACANDREW	mxk3 khxxn0 druu0
MACANDREWS	mxk3 khxxn0 druu0
MACANN	mxk3 khaan0
MACAO	mxk3 khaaw0
MACARA	mxk3 khq1 raa2
MACARISED	mxk3 khq1 raj3
MACARISES	mxk3 khq1 raj3 ses1
MACARISING	mxk3 khq1 raj3 sing2
MACARIZING	mxk3 khq1 raj3 sing2
MACARONI	mxk3 khq1 roo0 nii2
MACARONIES	mxk3 khq1 roo0 nii2
MACARONIS	mxk3 khq1 roo0 nii2
MACAROON	mxk3 khq1 ruun0
MACAROONS	mxk3 khq1 ruun0
MACARTHUR	mxk3 khaa0 thqq2
MACARTHURS	mxk3 khaa0 thqq2
MACARTHYISM	mxk3 khaa0 thi1 is3 svm2
MACARY	mxk3 khq1 rii2
MACASKILL	maa0 khas3 kil0
MACASKILLS	maa0 khas3 kil0
MACASSAR	maa0 khxs3 saa2
MACASSARS	maa0 khxs3 saa2
MACAW		maa0 kh@@0
MACAWS	maa0 kh@@0
MACBEAN	mxk3 biin0
MACBRAIN	mxk3 breen0
MACBRIDE	mxk3 braaj0
MACBRIDES	mxk3 braaj0
MACBRIDGE	mxk3 bric1
MACCALL	mxk3 kh@@l0
MACCALLAN	mxk3 kh@@l0 lxn2
MACCARONE	mxk3 khaa0 roon0
MACCARONI	mxk3 khaa0 roo0 nii2
MACCASKILL	mxk3 khas3 kil2
MACCASSAR	mxk3 khxs3 saa2
MACCASTRO	mxk3 khxs3 troo2
MACCLESFIELD	mxk3 khql2 sq1 fiil0
MACCONKEY	mxk3 kh@n0 kii2
MACCONNELL	mxk3 kh@n0 neel2
MACCONOMY	mxk3 kh@@0 nq1 mii2
MACCOOL	mxk3 khuul0
MACCORDING	mxk3 kh@@t3 ding2
MACCORKINDALE	mxk3 kh@@0 kin0 deel0
MACCORMAC	mxk3 kh@@0 mxk1
MACCORMACK	mxk3 kh@@0 mxk3
MACCORMICK	mxk3 kh@@0 mik1
MACCOY	mxk3 kh@@j0
MACDILL	mxk3 dil0
MACDONALD	mxk3 doo0 n@l2
MACDONALDS	mxk3 doo0 n@l2
