O	oo0
OAF	oof3
OAFISH	oof3 fich3
OAFISHLY	oof3 fich3 lii2
OAFISHNESS	oof3 fich3 nees1
OAFS	oof3
OAK	ook3
OAKBRIDGE	ook3 bric1
OAKBROOK	ook3 bruuk3
OAKDALE	ook3 deel0
OAKEN	ook3 khen2
OAKENGATES	ook3 khen2 keet1
OAKES	ook3
OAKING	ook3 king2
OAKINGTON	ook3 king0 thqn2
OAKLAHOMA	ook3 lq1 hoo0 maa2
OAKLAND	ook3 lxxn0
OAKLANDERS	ook3 lxxn0 dqq2
OAKLANDS	ook3 lxxn0
OAKLEA	ook3 lii2
OAKLEAF	ook3 liif3
OAKLEY	ook3 lee2
OAKLEYED	ook3 leet2
OAKLEYS	ook3 lee2
OAKLING	ook3 ling2
OAKMAN	ook3 mxxn0
OAKMARK	ook3 maak3
OAKMONT	ook3 m@@n3
OAKS	ook3
OAKUM	ook3 kham2
OAKUMS	ook3 kham2
OAKVILLE	ook3 wil0
OAKWOOD	ook3 wuut3
OAKWOODS	ook3 wuut3
OAR	@@0
OAR	@@0
OARED	@@0
OARED	@@0
OARING	@@0 ring2
OARING	@@0 ring2
OARLESS	@@0 les1
OARLOCK	@@0 l@k3
OARLOCKS	@@0 l@k3
OARS	@@s2
OARSMAN	@@0 sa1 mxn2
OARSMANSHIP	@@0 sa1 mxn2 chip3
OARSMEN	@@0 sa1 men2
OARSWOMAN	@@0 sa1 wuu3 mxn2
OARSWOMEN	@@0 sa1 wii3 men2
OASES	@@0 ee0 ses1
OASES	@@0 ee0 sii2
OASIS	oo0 ee0 sis3
OAST	oos3
OASTER	oos3 tqq2
OASTHOUSE	oos3 haaw3
OASTHOUSES	oos3 haaw3 ses1
OASTS	oos3
OAT	oot3
OATCAKE	oot3 kheek3
OATCAKES	oot3 kheek1
OATEN	oot3 thqn2
OATER	oot3 tqq2
OATERS	oot3 tqq2
OATES	oot3
OATESES	oot3 ses1
OATH	oot3
OATHED	oot3
OATHING	oot3 ting2
OATHOUT	oot3 thaaw3
OATHS	oot3
OATLEY	oot3 lee2
OATMAN	oot3 mxxn0
OATMEAL	oot3 miil0
OATMEALS	oot3 miil0
OATMEALY	oot3 miil0 lii2
OATS	oot3
OAVES	oof3
OB	@@p3
OBAN	oo0 bqn2
OBANDONED	oo0 bqn2
OBANION	oo0 bqq0 niian2
OBANNON	oo0 bqq0 n@@n2
OBBLIGATO	@@p3 bli3 kaa0 too2
OBBLIGATOS	@@p3 bli3 kaa0 toos2
OBDURACIES	@@p3 duua0 rq1 sii2
OBDURACY	@@p3 duua0 rq1 sii2
OBDURATE	@@p3 duua0 reet1
OBDURATED	@@p3 duua0 rqt3 thet1
OBDURATELY	@@p3 duua0 reet1 lii2
OBDURATENESS	@@p3 duua0 reet1 nees1
OBDURATING	@@p3 duua0 reet1 ting2
OBDURATION	@@p3 duua0 ree0 chan2
OBEAH	oo0 biia0
OBEAHISMS	oo0 biia0 is3 svm2
OBEAHS	oo0 biias2
OBEDIENCE	a1 bii0 diian2
OBEDIENCES	a1 bii0 diian3 ses1
OBEDIENCY	a1 bii0 diian0 sii2
OBEDIENT	a1 bii0 diian2
OBEDIENTLY	a1 bii0 diian3 lii2
OBEISANCE	oo0 bee0 sen3
OBEISANCES	oo0 bee0 sen3 ses1
OBELISED	oo0 bqq0 laj3
OBELISES	oo0 bqq0 lis3 ses1
OBELISING	oo0 bqq0 lis3 sing2
