PA	phaa0
PABULAR	phaa0 buu0 laa2
PABULARY	phaa0 buu0 lqq0 rii2
PABULATION	phaa0 buu0 lee0 chan2
PABULATORY	phaa0 buu0 lee0 th@@0 rii2
PABULOUS	phaa0 buu0 las3
PABULUM	phaa0 buu0 lam2
PABULUMS	phaa0 buu0 lam2
PACE	phees3
PACED	phees3 sit1
PACEMAKE	phees3 meek3
PACEMAKER	phees3 meek3 kqq2
PACEMAKERS	phees3 meek3 kqq2
PACEMAKING	phees3 meek3 king2
PACEMAN	phees3 mxxn0
PACEMEN	phees3 men0
PACER	phees3 sqq2
PACERING	phees3 sa1 ring2
PACERS	phees3 sqq2
PACES	phees3 ses1
PACESETTER	phees3 set3 tqq2
PACESETTERS	phees3 set3 tqq2
PACESETTING	phees3 set3 ting2
PACEWAY	phees3 wee0
PACHYDERM	phxk3 haaj0 dqqm0
PACHYDERMA	phxk3 haaj0 dqq0 maa2
PACHYDERMAL	phxk3 haaj0 dqq0 mal2
PACHYDERMATA	phxk3 haaj0 dqq0 maa0 thaa2
PACHYDERMATIS	phxk3 haaj0 dqq0 maa0 this3
PACHYDERMATOID	phxk3 haaj0 dqq0 maa0 th@@j0
PACHYDERMATOSIS	phxk3 haaj0 dqq0 maa0 th@@0 sis3
PACHYDERMATOUS	phxk3 haaj0 dqq0 maa0 thqs3
PACHYDERMATOUSLY	phxk3 haaj0 dqq0 maa0 thqs3 lii2
PACHYDERMIC	phxk3 haaj0 dqq0 mik1
PACHYDERMOID	phxk3 haaj0 dqq0 m@@j0
PACHYDERMS	phxk3 haaj0 dqqm0
PACIFIABLE	phxx0 si1 fi1 ee0 bql2
PACIFIC	phxx0 si3 fik1
PACIFICAL	phxx0 si1 fi3 kh@@l2
PACIFICALLY	phxx0 si1 fi1 kh@l2 lii2
PACIFICARE	phxx0 si1 fi1 khxx0
PACIFICATE	phxx0 si1 fi1 kheet1
PACIFICATION	phxx0 si1 fi1 khee0 chan2
PACIFICATIONS	phxx0 si1 fi1 khee0 chan2
PACIFICATOR	phxx0 si1 fi1 khee0 tqq2
PACIFICATORS	phxx0 si1 fi1 khee0 tqq2
PACIFICATORY	phxx0 si1 fi1 khee0 th@@0 rii2
PACIFICISM	phxx0 si1 fi1 si3 svm2
PACIFICIST	phxx0 si1 fi1 ses1
PACIFICISTIC	phxx0 si1 fi1 sis3 tik1
PACIFICISTS	phxx0 si1 fi1 sis3
PACIFICITY	phxx0 si1 fi1 si3 tii2
PACIFICO	phxx0 si1 fi1 koo2
PACIFICOS	phxx0 si1 fi1 kh@s3
PACIFICS	phxx0 si1 fik1
PACIFIED	phxx0 si1 faaj0 it1
PACIFIER	phxx0 si1 faaj0 qq2
PACIFIERS	phxx0 si1 faaj0 qq2
PACIFIES	phxx0 si1 faaj0
PACIFISM	phxx0 si1 fis3 svm2
PACIFISMS	phxx0 si1 fis3 svm2
PACIFIST	phxx0 si1 fis3
PACIFISTIC	phxx0 si1 fis3 tik3
PACIFISTICALLY	phxx0 si1 fis3 tik3 kh@l2 lii2
PACIFISTS	phxx0 si1 fis3
PACIFY	phxx0 si1 faaj0
PACIFYING	phxx0 si1 faaj0 ing2
PACIFYINGLY	phxx0 si1 faaj0 ing2 lii2
PACING	phees3 sing2
PACINGS	phees3 sing2
PACK	phxk3
PACKABLE	phxk3 khee0 bql2
PACKAGE	phxk3 kheec1
PACKAGED	phxk3 kheec1 cit1
PACKAGEES	phxk3 kheec1 cii2
PACKAGEING	phxk3 kheec1 cing2
PACKAGER	phxk3 kheec1 cqq2
PACKAGERS	phxk3 kheec1 cqq2
PACKAGES	phxk3 kheec1 ces1
PACKAGING	phxk3 kheec1 cing2
PACKAGINGS	phxk3 kheec1 cing2
PACKED	phxk3 kit1
PACKER	phxk3 kqq2
PACKERS	phxk3 kqq2
PACKERY	phxk3 kq1 rii2
PACKES	phxk3 kis1
PACKET	phxk3 ket2
PACKETED	phxk3 ket2 thet1
PACKETING	phxk3 ket3 ting2
PACKETS	phxk3 ket2
PACKETY	phxk3 ket2 tii2
PACKHAM	phxk3 hxxm2
PACKHORSE	phxk3 h@@s3
PACKHORSES	phxk3 h@@s3 ses1
PACKHOUSE	phxk3 haaw3
PACKING	phxk3 king2
PACKINGHOUSE	phxk3 king2 haaw3
PACKINGHOUSES	phxk3 king2 haaw3 ses1
PACKINGS	phxk3 king2
PACKINGTON	phxk3 king2 tan2
PACKMAN	phxk3 mxxn0
PACKMANSHIP	phxk3 mxxn0 chip3
PACKMEN	phxk3 men0
PACKS	phxk3
PACKSACK	phxk3 sxk3
PACKSACKS	phxk3 sxk3
PACKSADDLE	phxk3 sxt3 dql2
PACKSADDLES	phxk3 sxt3 dql2
PACKSTAFF	phxk3 sa1 taaf3
PACKSTON	phxk3 sa1 tan2
PACKSTONE	phxk3 sa1 toon0
PACKSTONES	phxk3 sa1 toon0
PACKTHREAD	phxk3 threet1
PACKTHREADS	phxk3 threet1
PACKWALL	phxk3 w@@l0
PACKWALLER	phxk3 w@@l0 lqq2
PACKWARE	phxk3 wxx0
PACKWOOD	phxk3 wuut3
PACKWOODS	phxk3 wuut3
PACT	phxk3
PACTA	phxk3 taa2
PACTEL	phxk3 thql2
PACTELL	phxk3 theel0
PACTER	phxk3 thqq2
PACTICE	phxk3 this3
PACTO	phxk3 too2
PACTOR	phxk3 thqq2
PACTOS	phxk3 th@s2
PACTRON	phxk3 thr@@n0
PACTS	phxk3
PACTUS	phxk3 thas3
PAD	phxt3
PADDAN	phxt3 dqn2
PADDED	phxt3 det1
PADDEN	phxt3 den2
PADDICK	phxt3 dik1
PADDICUM	phxt3 di1 kham2
PADDIES	phxt3 dii2
PADDING	phxt3 ding2
PADDINGS	phxt3 ding2
PADDINGTON	phxt3 ding0 tan2
PADDLE	phxt3 dql2
PADDLED	phxt3 dql2 lit1
PADDLEFISH	phxt3 dql2 fich3
PADDLELIKE	phxt3 dql2 laj3
PADDLER	phxt3 dql2 lqq2
PADDLERS	phxt3 dql2 lqq2
PADDLES	phxt3 dql2
PADDLESWORTH	phxt3 dql2 wqqt1
PADDLEWOOD	phxt3 dql2 wuut3
PADDLING	phxt3 dq1 ling2
PADDLINGS	phxt3 dq1 ling2
PADDOCK	phxt3 d@k1
PADDOCKED	phxt3 d@k1 kit1
PADDOCKING	phxt3 d@k1 king2
PADDOCKS	phxt3 d@k1
PADDON	phxt3 d@n2
PADDY	phxt3 dii2
PADDYS	phxt3 dii2
PADFIELD	phxt3 fiil0
PADFIELDS	phxt3 fiil0
PADGET	phxt3 ket1
PADLEY	phxt3 dq1 lii2
PADLOCK	phxt3 l@k3
PADLOCKED	phxt3 l@k3 kit1
PADLOCKING	phxt3 l@k3 king2
PADLOCKS	phxt3 l@k3
PADOVA	phxx0 doo0 waa2
PADRE	phaa0 dree2
PADRES	phaa0 drees1
PADRICA	phxt3 dri1 kaa2
PADRICK	phxt3 drik1
PADRO	phaa0 droo2
PADRON	phaa0 dr@@n2
PADRONE	phaa0 dr@@n2
PADRONISM	phaa0 dr@@n0 nis3 svm2
PADS	phxt3
PADSHAH	phxt3 chaa2
PADUAN	phxt3 duuan2
PADUANS	phxt3 duuan2
PAEAN	ii0 an0
PAEANISMS	ii0 an0 nis3 svm2
PAEANIZE	ii0 an0 naj3
PAEANIZES	ii0 an0 naj3 ses1
PAEANS	ii0 an0
PAEDERASTY	phee0 dqq0 ras3 tii2
PAEDIATRIC	phee0 daaj0 xx0 thrik1
PAEDIATRICIAN	phee0 daaj0 xx0 thrik1 chiian2
PAEDIATRICIANS	phee0 daaj0 xx0 thrik1 chiian2
PAEDIATRICS	phee0 daaj0 xx0 thrik1
PAEON	phii0 an0
PAEONIC	phii0 an0 nik1
PAEONIES	phii0 an0 nii2
PAEONS	phii0 an0
PAEONY	phii0 an0 nii2
PAFLAGONIAN	phef3 laa0 k@@0 niian2
PAGAN	phee0 kan2
PAGANES	phee0 kan0 nees1
PAGANISATION	phee0 kan0 naj3 see0 chan2
PAGANISED	phee0 kan0 naj3 sit1
PAGANISER	phee0 kan0 naj3 sqq2
PAGANISERS	phee0 kan0 naj3 sqq2
PAGANISING	phee0 kan0 naj3 sing2
PAGANISM	phee0 kan0 nis3 svm2
PAGANISMS	phee0 kan0 nis3 svm2
PAGANIST	phee0 kan0 nis3
PAGANISTIC	phee0 kan0 nis3 tik1
PAGANISTS	phee0 kan0 nis3
PAGANIZATION	phee0 kan0 naj3 see0 chan2
PAGANIZE	phee0 kan0 naj3
PAGANIZED	phee0 kan0 naj3 sit1
PAGANIZER	phee0 kan0 naj3 sqq2
PAGANIZERS	phee0 kan0 naj3 sqqs1
PAGANIZES	phee0 kan0 naj3 ses1
PAGANIZING	phee0 kan0 naj3 sing2
PAGANON	phee0 kan0 n@n2
PAGANS	phee0 kan2
PAGE	pheec1
PAGEANT	phxxt3 cqn2
PAGEANTED	phxxt3 cqn2 thet1
PAGEANTEER	phxxt3 cqn2 thiia0
PAGEANTEERS	phxxt3 cqn2 thiias2
PAGEANTLIKE	phxxt3 cqn2 laj3
PAGEANTRY	phxxt3 cqn2 thrii2
PAGEANTS	phxxt3 cqn2
PAGEBOY	pheec1 b@@j0
PAGEBOYS	pheec1 b@@j0
PAGED	pheec1 cit1
PAGEL	pheec1 cel2
PAGELER	pheec1 ceel0 lqq2
PAGELOW	pheec1 ceel0 loo2
PAGELS	pheec1 cel2
PAGEMAKER	pheec1 meek3 kqq2
PAGEMAKERS	pheec1 meek3 kqq2
PAGEMAKING	pheec1 meek3 king2
PAGER	pheec1 cqq2
PAGERS	pheec1 cqq2
PAGES	pheec1 ces1
PAGESES	pheec1 ces3 ses1
PAGESIZE	pheec1 saj3
PAGINAL	phxt3 ci1 nal2
PAGINARY	phxt3 ci1 nqq0 rii2
PAGINATE	phxt3 ci1 neet1
PAGINATED	phxt3 ci1 neet3 thet1
PAGINATES	phxt3 ci1 neet3 this1
PAGINATING	phxt3 ci1 neet3 ting2
PAGINATION	phxt3 ci1 nee0 chan2
PAGINATIONS	phxt3 ci1 nee0 chan2
PAGING	pheec1 cing2
PAGINGS	pheec1 cing2
PAGNELL	phxk3 neel0
PAGODA	phaa0 koo0 daa2
PAGODAS	phaa0 koo0 das2
PAGODE	phaa0 k@@t1
PAGODES	phaa0 k@@t3 dis1
PAID	pheet2
PAIL	pheel0
PAILFUL	pheel0 fuul0
PAILFULS	pheel0 fuul0
PAILLASSE	phxxl0 jxxs3
PAILLASSES	phxxl0 jxxs3 ses1
PAILLETTE	phxxl0 jeet1
PAILLETTED	phxxl0 jeet3 thet1
PAILLETTES	phxxl0 jeet1 this1
PAILLIASSE	phxxl0 li1 xxs3
PAILLIASSES	phxxl0 li1 xxs3 ses1
PAILS	pheel0
PAIN	pheen0
PAINED	pheen0 nit1
PAINES	pheen0 nees1
PAINESVILLE	pheen0 sa1 wiil0
PAINFUL	pheen0 fuul0
PAINFULLER	pheen0 fuul0 lqq2
PAINFULLY	pheen0 fuul0 lii2
PAINFULNESS	pheen0 fuul0 nees1
PAINING	pheen0 ning2
PAININGLY	pheen0 ning2 lii2
PAINKILLER	pheen0 kiil0 lqq2
PAINKILLERS	pheen0 kiil0 lqq2
PAINKILLING	pheen0 kiil0 ling2
PAINLESS	pheen0 les1
PAINLESSLY	pheen0 les3 lii2
PAINLESSNESS	pheen0 les3 nees1
PAINS	pheen0
PAINSTAKER	pheen0 sa1 theek3 kqq2
PAINSTAKING	pheen0 sa1 theek3 king2
PAINSTAKINGLY	pheen0 sa1 theek3 king2 lii2
PAINT	pheen3
PAINTABILITY	pheen3 thq1 bi1 li3 tii2
PAINTABLE	pheen3 thee0 bql2
PAINTABLENESS	pheen3 thee0 bql2 nees1
PAINTABLY	pheen3 thee0 blii2
PAINTBOX	pheen3 b@k3
PAINTBOXES	pheen3 b@k3 ses1
PAINTBRUSH	pheen3 brach3
PAINTBRUSHES	pheen3 brach3 ches1
PAINTED	pheen3 thet1
PAINTEDNESS	pheen3 thit3 nees1
PAINTEN	pheen3 thqn2
PAINTER	pheen3 thqq2
