Q	khiw0
QATAR	kaa0 taa2
QATAR	kaa0 taa2
QATARI	khaa0 taa0 ri3
QATARIS	khaa0 taa0 ris3
QUACK	khwxxk3
QUACKED	khwxxk3
QUACKER	khwxk3 kqq2
QUACKER	khwxk3 kqq2
QUACKERIES	khwxk3 kqq0 rii2
QUACKERS	khwxk3 kqq2
QUACKERY	khwxk3 kqq0 rii2
QUACKIEST	khwxk3 ki1 es1
QUACKING	khwxk3 king2
QUACKINGS	khwxk3 king2
QUACKISH	khwxk3 kich1
QUACKISHLY	khwxk3 kich1 lii2
QUACKISHNESS	khwxk3 kich1 nees1
QUACKISM	khwxk3 kis3 svm2
QUACKISMS	khwxk3 kis3 svm2
QUACKS	khwxk3
QUACKSALVER	khwxk3 sxxl0 wqq2
QUACKSTER	khwxk3 sa1 tqq2
QUAD	khw@@t3
QUADER	khw@@t3 dqq2
QUADER	khw@@t3 dqq2
QUADRA	khw@@t3 drqq2
QUADRAGESIMA	khw@@t3 drq1 ces3 si1 mqq2
QUADRAGESIMAL	khw@@t3 drq1 ces3 si1 mql2
QUADRAGESIMO	khw@@t3 drq1 ces3 si1 moo2
QUADRAL	khw@@t3 drql2
QUADRAM	khw@@t3 drxxm2
QUADRANGLE	khw@@t3 drxxng0 kql2
QUADRANGLED	khw@@t3 drxxng0 kql2
QUADRANGLES	khw@@t3 drxxng0 kql2
QUADRANGULAR	khw@@t3 drxxng0 khiw0 lqq2
QUADRANGULAR	khw@@t3 drxxng0 khiw0 lqq2
QUADRANGULARIS	khw@@t3 drxxng0 khiw0 lxx0 riis1
QUADRANGULARLY	khw@@t3 drxxng0 khiw0 lq1 lii2
QUADRANGULATE	khw@@t3 drxxng0 khiw0 leet1
QUADRANGULATUM	khw@@t3 drxxng0 khiw0 lee0 tham2
QUADRANT	khw@@t3 drqn2
QUADRANTES	khw@@t3 drqn2
QUADRANTILE	khw@@t3 drqn2 thaaj0
QUADRANTLIKE	khw@@t3 drqn2 laj3
QUADRANTLY	khw@@t3 drqn2 lii2
QUADRANTS	khw@@t3 drqn2
QUADRAPHONIC	khw@@t3 drq1 f@@0 nik1
QUADRAS	khw@@t3 dras2
QUADRAT	khw@@t3 drxt3
QUADRATE	khw@@t3 dreet1
QUADRATE	khw@@t3 drit1
QUADRATED	khw@@t3 dreet3 thet1
