กรี กฺรี กะ-รี
กรอด กฺรอด กะ-หฺรอด
เขมา เข-มา ขะ-เหฺมา
แขม แขมฺ ขะ-แม
ครุ คฺรุ คะ-รุ
ตนุ ตะ-นุ ตะ-หนุ
ตรุ ตฺรุ ตะ-รุ
ทิว ทิว ทิ-วะ วัน
เทว เท-วะ ทะ-เว สอง
นวม นวม นะ-วะ-มะ
ปถวี ปะ-ถะ-วี ปะ-ถะ-หฺวี
ปรอด ปะ-หรอด ปฺรอด
ปรัก ปฺรัก ปะ-หรัก
ปรามาส ปฺรา-มาด ปะ-รา-มาด
ปริ ปะ-ริ ปฺริ
ปลก ปะหลก ปฺลก
ปละ ปะ-ละ ปฺละ
ปักเป้า ปัก-กะ-เป้า ปัก-เป้า
ปาน ปานฺ ปา-นะ
ผิว ผิ-วะ ผิว
พยาธิ พะ-ยา-ทิ	 พะ-ยาด
พรร พัน พัน-ระ
พลี พะ-ลี พฺลี
เพลา เพ-ลา เพฺลา
มน มนฺ มะ-นะ
วน วนฺ วะ-นะ
สก สกฺ สะ-กะ
สม สม สะ-มะ
สมี สะ-หฺมี สะ-มี
สระ สะ สะ-หฺระ สะ-ระ
สละ สะ-ละ สะ-หฺละ
สวก สวก สะ-หฺวก
สาน สานฺ สา-นะ
สุก สุกฺ สุก-กะ
เสมา สะ-เหฺมา เส-มา
เหลา เห-ลา เหฺลา
เหมา เหฺมา เห-มา
เหลา เห-ลา เหฺลา
แหน แหฺน แหนฺ

มารอกราบ มา-รอ-กราบ มาร-อก-ราบ มา-รอก-ราบ
โคลง โคลง โค-ลง
ตากลม ตา-กลม ตาก-ลม
มากว่า มาก-ว่า มา-กว่า
