SAARBRUCK	saa0 bruuk3
SAARBRUCKEN	saa0 bruuk3 khen2
SABADELI	sxx0 baa0 deel0 lii2
SABAEAN	saa0 biian2
SABAEANS	saa0 biian2
SABAH	saa0 bqq2
SABAHAN	saa0 bqq0 hqn2
SABAHANS	saa0 bqq0 hqn2
SABAHS	saa0 bqq2
SABBATARIAN	sxxp3 bq1 thxx0 riian2
SABBATARIANISM	sxxp3 bq1 thxx0 riian0 nis3 svm2
SABBATARIANS	sxxp3 bq1 thxx0 riian2
SABBATH	sxxp3 bqt1
SABBATHS	sxxp3 bqt1
SABBATIC	sxxp3 bxx0 thik1
SABBATICAL	sxxp3 bxx0 thi1 kh@l2
SABBATICALLY	sxxp3 bxx0 thi3 khq1 lii2
SABBATICALNESS	sxxp3 bxx0 thi3 kh@l2 nees1
SABBATICALS	sxxp3 bxx0 thi1 kh@l2
SABBATISM	sxxp3 bxx0 this3 svm2
SABERHAGEN	see0 bqq2 haa0 ken2
SABINE	sxx0 baaj0
SABINES	sxx0 baaj0
SABLE	see0 bql2
SABLENESS	see0 bql2 nees1
SABLER	see0 blqq2
SABLER	see0 blqq2
SABLES	see0 bql2
SABOT	sxxp3 b@t1
SABOTAGE	sxxp3 bq1 thaac1
SABOTAGED	sxxp3 bq1 thaach3
SABOTAGES	sxxp3 bq1 thaa0 ches1
SABOTAGING	sxxp3 bq1 thaa0 ching2
SABOTED	sxxp3 b@t1
SABOTEUR	sxxp3 bq1 thqq2
SABOTEUR	sxxp3 bq1 thqq2
SABOTEURS	sxxp3 bq1 thqq2
SABOTS	sxxp3 b@t1
SABRE	see0 bqq2
SABRE	see0 bqq2
SABRED	see0 bqq2
SABRES	see0 bqq2
SABRETACHE	sxx0 bq1 thxch3
SABRETACHES	sxx0 bq1 thxch3 ches1
SABRING	see0 bring2
SABULA	sxx0 biw0 laa2
SABULITE	sxx0 biw0 laj3
SABULOSE	sxx0 biw0 luus3
SABULOSITY	sxx0 biw0 l@@3 si1 tii2
SABULOUS	sxx0 biw0 lqs2
SABULUM	sxx0 biw0 lam2
SAC	sxk3
SACBUT	sxk3 bat1
SACBUTS	sxk3 bat1
SACCADE	sxk3 khaat1
SACCADES	sxk3 khaat1
SACCHARILLA	sxk3 khaa0 ril0 laa2
SACCHARIN	sxk3 khaa0 rin2
SACCHARINATE	sxk3 khaa0 ri1 neet1
SACCHARINATED	sxk3 khaa0 ri1 neet3 thet1
SACCHARINE	sxk3 khaa0 riin0
SACCHARINELY	sxk3 khaa0 riin0 lii2
SACCHARINES	sxk3 khaa0 riin0
SACCHARINES	sxk3 khaa0 riin0
SACCHARINITY	sxk3 khaa0 riin0 ni3 tii2
SACCONE	sxk3 khoon0
SACCOS	sxk3 khoos3
SACERDOTAGE	sxs3 doo0 theec1
SACERDOTAL	sxs3 doo0 thql2
SACERDOTALISM	sxs3 doo0 thql2 lis3 svm2
SACERDOTALIST	sxs3 doo0 thql2 lis3
SACERDOTALIZE	sxs3 doo0 thql2 laj3
SACERDOTE	sxs3 doot1
SACHEM	see0 chqm2
SACHEMS	see0 chqm2
SACHER	sxk3 khqq2
SACHERS	sxk3 khqq2
SACHET	sxch3 chee2
SACHETED	sxch3 chee2
SACHETS	sxch3 chees1
SACK	sxk3
SACKAGE	sxk3 kheec1
SACKBUT	sxk3 bat1
SACKBUTS	sxk3 bat1
SACKCLOTH	sxk3 khloot3
SACKCLOTHED	sxk3 khloot3
SACKED	sxk3 khet1
SACKER	sxk3 kqq2
SACKERS	sxk3 kqq2
SACKING	sxk3 king2
SACKINGEN	sxk3 kin0 cen2
SACKINGS	sxk3 king2
SACKINSKY	sxk3 kin0 sa1 kii2
SACKLER	sxk3 klqq2
SACKLESS	sxk3 les1
SACKLEY	sxk3 lee2
SACKLIN	sxk3 lin2
SACKMAN	sxk3 mxxn0
SACKMANN	sxk3 mxxn0
SACKRIDER	sxk3 raj3 dqq2
SACKS	sxk3
SACKVILLE	sxk3 wil0
SACKVILLES	sxk3 wil0
SACLIKE	sxk3 laj3
SACRA	see0 khraa2
SACRAD	sxk3 khrxxt1
SACRAL	see0 khr@l2
SACRALISATION	see0 khr@l2 laj3 see0 chan2
SACRALIZATION	see0 khr@l2 laj3 see0 chan2
SACRALIZE	see0 khr@l2 laj3
SACRALIZED	see0 khr@l2 laj3
SACRALS	see0 khr@l2
SACRAMEN	sxk3 khra1 men0
SACRAMENT	sxk3 khra1 men3
SACRAMENTA	sxk3 khra1 men0 taa2
SACRAMENTAL	sxk3 khra1 men0 th@l2
SACRAMENTALISED	sxk3 khra1 men0 th@l2 laj3
SACRAMENTALISM	sxk3 khra1 men0 th@l2 lis3 svm2
SACRAMENTALIST	sxk3 khra1 men0 thq1 lis3
SACRAMENTALITY	sxk3 khra1 men0 thxxl2 li3 tii2
SACRAMENTALIZED	sxk3 khra1 men0 th@l2 laj3
SACRAMENTALLY	sxk3 khra1 men0 th@l2 lii2
SACRAMENTALS	sxk3 khra1 men0 th@l2
SACRAMENTARIES	sxk3 khra1 men0 thxx0 rii2
SACRAMENTARY	sxk3 khra1 men0 thq1 rii2
SACRAMENTISES	sxk3 khra1 men0 this3 ses1
SACRAMENTISM	sxk3 khra1 men0 this3 svm2
SACRAMENTO	sa1 khraa0 men0 too2
SACRAMENTS	sxk3 khra1 men3
SACRED	see3 khret1
SACREDLY	see0 khret3 lii2
SACREDNESS	see0 khret3 nees1
SACREMENT	see3 khre1 men3
SACRET	see3 khret1
SACRIFIC	sxk1 khri1 fik1
SACRIFICABLE	sxk1 khri3 fik3 khee0 bql2
SACRIFICAL	sxk1 khri3 fi1 kh@l2
SACRIFICANT	sxk1 khri3 fik3 khan3
SACRIFICATION	sxk1 khri3 fik3 khee0 chan2
SACRIFICATOR	sxk1 khri3 fik3 khee0 tqq2
SACRIFICATORY	sxk1 khri3 fik3 khee0 thq1 rii2
SACRIFICATURE	sxk1 khri3 fik3 khq1 chqq2
SACRIFICE	sxk3 khri1 faaj3
SACRIFICED	sxk3 khri1 faaj3
SACRIFICER	sxk3 khri1 faaj3 sqq2
SACRIFICERS	sxk3 khri1 faaj3 sqq2
SACRIFICES	sxk3 khri1 faaj3 ses1
SACRIFICIAL	sxk3 khri1 fi3 chiial2
SACRIFICIALLY	sxk3 khri1 fi3 chiial0 lii2
SACRIFICING	sxk3 khri1 faaj3 sing2
SACRIFIED	sxk3 khri1 faaj3
SACRILEGE	sxk3 khri1 lec1
SACRILEGER	sxk3 khri1 lec3 cqq2
SACRILEGIOUS	sxk3 khri1 lec3 ciias2
SACRILEGIOUSLY	sxk3 khri1 lec3 ciias2 lii2
SACRILEGIOUSNESS	sxk3 khri1 lec3 ciias2 nees1
SACRIST	sxx0 khris3
SACRISTAN	sxk3 khris3 tan2
SACRISTANS	sxk3 khris3 tan2
SACRISTIES	sxk3 khris3 tii2
SACRISTINE	sxk3 khris3 tiin0
SACRISTON	sxk3 khris3 tan2
SACRISTRY	sxk3 khris3 thrii0
SACRISTS	sxx0 khris3
SACRISTY	sxk3 khris3 tii2
SACROSANCT	sxk3 khroo0 sxxng3
SACROSANCTITY	sxk3 khroo0 sxxng3 ti1 tii2
SACROSANCTNESS	sxk3 khroo0 sxxng3 nees1
SACROSANCTUM	sxk3 khroo0 sxxng3 tham2
SACRUM	see0 khram2
SACRUMS	see0 khram2
SACS	sxk3
SAD	sxxt3
SADDAM	sat3 dam0
SADDAMN	sxxt3 dxxm0
SADDAMS	sxxt3 dxxm0
SADDEN	sxxt3 den2
SADDENED	sxxt3 den2
SADDENING	sxxt3 den0 ning2
SADDENINGLY	sxxt3 den0 ning2 lii2
SADDENS	sxxt3 den2
SADDER	sxxt3 dqq2
SADDER	sxxt3 dqq2
SADDEST	sxxt3 dis1
SADDLE	sxxt3 dql2
SADDLEBACK	sxxt3 dql2 bxk3
SADDLEBACKED	sxxt3 dql2 bxk3
SADDLEBACKS	sxxt3 dql2 bxk3
SADDLEBAG	sxxt3 dql2 bxk3
SADDLEBAGS	sxxt3 dql2 bxk3
SADDLEBOW	sxxt3 dql2 boo0
SADDLEBOWS	sxxt3 dql2 boos2
SADDLEBROOK	sxxt3 dql2 bruuk3
SADDLECLOTH	sxxt3 dql2 khloot3
SADDLED	sxxt3 dql2
SADDLELIKE	sxxt3 dql2 laj3
SADDLEMAKER	sxxt3 dql2 meek3 kqq2
SADDLEPOINT	sxxt3 dql2 p@@j3
SADDLEPOINTS	sxxt3 dql2 p@@j3
SADDLER	sxxt3 dql2 lqq2
SADDLERIES	sxxt3 dql2 lq1 rii2
SADDLERS	sxxt3 dql2 lqq2
SADDLERY	sxxt3 dql2 rii2
SADDLES	sxxt3 dql2
SADDLETREE	sxxt3 dql2 thrii0
SADDLING	sxxt3 dql2 ling2
SADDORIS	sxxt3 d@@0 ris3
SADDUCEE	sxxt3 duu0 sii2
SADDUCEES	sxxt3 duu0 sii2
SADER	sxxt3 dqq2
SADER	sxxt3 dqq2
SADERS	sxxt3 dqq2
SADERS	sxxt3 dqq2
SADHU	saa0 duu2
SADHUS	saa0 duus2
SADIAN	sxx0 diian2
SADIES	see0 dii2
SADIRA	sxx0 diia0 raa2
SADIRON	sxx0 daaj0 r@n2
SADIRONS	sxx0 daaj0 r@n2
SADISM	see0 dis3 svm2
SADISMS	see0 dis3 svm2
SADIST	see0 dis3
SADISTA	see0 dis3 tqq2
SADISTIC	sa1 dis3 tik1
SADISTICAL	sa1 dis3 ti1 kh@l2
SADISTICALLY	sa1 dis3 ti1 khq1 lii2
SADISTS	see0 dis3
SADLEE	sxxt3 lii2
SADLY	sxxt3 lii2
SADNESS	sxxt3 nees1
SADNESSES	sxxt3 nes3 ses1
SADOFF	sxxt3 d@@f3
SADOMASOCHISM	see0 doo0 mxxs3 soo0 khis3 svm2
SADOMASOCHIST	see0 doo0 mxxs3 soo0 khis3
SADOMASOCHISTIC	see0 doo0 mxxs3 soo0 khis3 tik1
