TA	thaa0
TAB	thxp3
TABACI	thxp3 baa0 sii2
TABANA	thxp3 baa0 naa2
TABARD	thxp3 bqqt1
TABARDED	thxp3 bqqt3 det1
TABARDS	thxp3 bqqt1
TABARE	thxp3 baa2
TABARES	thxp3 baas2
TABARET	thxp3 bqq0 ree2
TABART	thxp3 baat1
TABBARD	thxp3 baat1
TABBED	thxp3 bet1
TABBER	thxp3 bqq2
TABBERER	thxp3 bqq0 rqq2
TABBERT	thxp3 bqqt1
TABBIES	thxp3 bii2
TABBING	thxp3 bing2
TABBY	thxp3 bii2
TABER	thxp3 bqq2
TABERDAR	thxp3 bqq0 daa2
TABERNACLE	thxp3 bqq0 nee0 khql2
TABERNACLED	thxp3 bqq0 nee0 khql2
TABERNACLER	thxp3 bqq0 nee0 khlqq2
TABERNACLES	thxp3 bqq0 nee0 khql2
TABERNACULAR	thxp3 bqq0 nee0 khiw0 laa2
TABERS	thxp3 bqq2
TABES	theep3
TABIDLY	thxp3 bit1 lii2
TABLAS	thxp3 blxs3
TABLATURE	thxp3 blee0 chqq2
TABLATURES	thxp3 blee0 chqq2
TABLE	thee0 bql2
TABLEAU	thxp3 loo0
TABLEAUS	thxp3 loos2
TABLEAUX	thxp3 loo0
TABLEAUXS	thxp3 loos2
TABLECLOTH	thee0 bql2 khloot3
TABLECLOTHES	thee0 bql2 khloot3
TABLECLOTHS	thee0 bql2 khloot3
TABLED	thee0 bql2
TABLEDS	thee0 bql2
TABLEES	thee0 bql2
TABLELAND	thee0 bql2 lxxn0
TABLELANDS	thee0 bql2 lxxn0
TABLEMAKER	thee0 bql2 meek3 kqq2
TABLEMAKING	thee0 bql2 meek3 king2
TABLEMAN	thee0 bql2 mxxn0
TABLEMAT	thee0 bql2 mxt3
TABLEMATE	thee0 bql2 meet1
TABLEMATES	thee0 bql2 meet1
TABLEMATS	thee0 bql2 mxt3
TABLER	thee0 blqq2
TABLERS	thee0 blqq2
TABLES	thee0 bql2
TABLESPOON	thee0 bql2 sq1 puun0
TABLESPOONFUL	thee0 bql2 sq1 puun0 fuul0
TABLESPOONFULS	thee0 bql2 sq1 puun0 fuul0
TABLESPOONS	thee0 bql2 sq1 puun0
TABLET	thxp3 blet1
TABLETEXT	thee0 bql2 tek1
TABLETING	thxp3 blet1 ting2
TABLETOP	thee0 bql2 t@p3
TABLETOPS	thee0 bql2 t@p3
TABLETS	thxp3 blet1
TABLETTED	thxp3 blet3 thet1
TABLETTING	thxp3 blet1 ting2
TABLEWARE	thee0 bql2 wxx0
TABLEWARES	thee0 bql2 wxxs2
TABLING	thxp30 bling2
TABLOID	thxp3 l@@j0
TABLOIDING	thxp3 l@@j0 ding2
TABLOIDS	thxp3 l@@j0
TABONE	thxp3 wan0
TABOO	thaa0 buu0
TABOOED	thaa0 buu0
TABOOING	thaa0 buu0 ing2
TABOOS	thaa0 buus2
TABOR	thee0 bqq2
TABORED	thee0 bqq2
TABORING	thee0 bqq0 ring2
TABORS	thee0 bqq2
TABOUR	thxp3 baaw0 wqq2
TABOURED	thxp3 baaw0 wqq2
TABOURER	thxp3 bqq0 rqq2
TABOURERS	thxp3 bqq0 rqq2
TABOURET	thxp3 bqq0 ret1
TABOURETS	thxp3 bqq0 ret1
TABOURINE	thxp3 bqq0 riin0
TABOURING	thxp3 bqq0 ring2
TABOURS	thxp3 baaw0 wqq2
TABRAN	thxp3 brxn0
TABRON	thxp3 br@n2
TABS	thxp3
TABSTOP	thxp3 sa1 t@p3
TABSTOPS	thxp3 sa1 t@p3
TABULA	thxp3 biw0 laa2
TABULABLE	thxp3 biw0 lee0 bql2
TABULAE	thxp3 biw0 lii2
TABULAR	thxp3 biw0 laa2
TABULARISATION	thxp3 biw0 laa2 raj3 see0 chan2
TABULARISE	thxp3 biw0 laa2 raj3
TABULARISES	thxp3 biw0 laa2 raj3 ses1
TABULARIZATION	thxp3 biw0 laa2 raj3 see0 chan2
