UBIQUARIAN	juu0 bi1 khw@@0 riian2
UBIQUINONE	juu0 bi1 khwi1 n@n2
UBIQUINONES	juu0 bi1 khwi1 n@n2
UBIQUIST	juu0 bi1 khwis3
UBIQUIT	juu0 bi1 khwit3
UBIQUITARIAN	juu0 bi1 khwit3 thxx0 riian2
UBIQUITARIANISM	juu0 bi1 khwit3 thxx0 riian0 nis3 svm2
UBIQUITIES	juu0 bi1 khwi3 tii2
UBIQUITISM	juu0 bi1 khwi1 this3 svm2
UBIQUITIST	juu0 bi1 khwit3 this3
UBIQUITOUS	juu0 bi1 khwit3 tqq2
UBIQUITOUSLY	juu0 bi1 khwit3 thqs2 lii2
UBIQUITOUSNESS	juu0 bi1 khwit3 thqs2 nees1
UBIQUITY	juu0 bi1 khwi3 tii2
UDAL	juu0 d@l2
UDALER	juu0 d@l2 lqq2
UDDER	at3 dqq2
UDDERED	at3 dqq2
UDDERLESS	at3 dqq2 lees1
UDDERLY	at3 dqq0 lii2
UDDERS	at3 dqq2
UDDING	at3 ding2
UDDINGSTON	at3 ding0 sa1 tan2
UDINE	juu0 diin0
UDOLF	juu0 d@@f3
UDOMETER	juu0 d@@0 mi3 tqq2
UDOMETRIC	juu0 d@@0 met3 thrik1
UFA	juu0 faa0
UGANDA	uu0 kaan0 daa0
UGANDAN	uu0 kaan0 dxn2
UGANDANS	uu0 kaan0 dxn2
UGANDAS	uu0 kaan0 daas2
UGH	qq2
UGLIER	ak3 li1 qq2
UGLIES	ak3 lii2
UGLIEST	ak3 li1 es1
UGLIFICATION	ak3 li1 fi3 khee0 chan2
UGLIFIED	ak3 li1 faaj0
UGLIFIER	ak3 li1 faaj0 qq2
UGLIFIERS	ak3 li1 faaj0 qq2
UGLIFIES	ak3 li1 faaj0
UGLIFY	ak3 li1 faaj0
UGLIFYING	ak3 li1 faaj0 ing2
UGLINESS	ak3 li1 nees1
UGLINESSES	ak3 li1 nees3 ses1
UGLY	ak3 lii2
UGRIAN	uu0 kriian0
UGRIANS	uu0 kriian0
UH	aa0
UH	uu0
UHLAN	uu0 lan2
UHLAND	uu0 lxxn0
UHLANS	uu0 lan2
UKASE	juu0 khees3
UKASES	juu0 khees3 ses1
UKRAIN	juu0 khreen0
UKRAINE	juu0 khreen0
UKRAINER	juu0 khreen0 nqq2
UKRAINES	juu0 khreen0
UKRAINI	juu0 khreen0 nii2
UKRAINIAN	juu0 khree0 niian2
UKRAINIANISM	juu0 khree0 niian0 nis3 svm2
UKRAINIANS	juu0 khree0 niian2
UKRAINY	juu0 khreen0 nii2
UKULELE	juu0 khql2 leel0 lee2
UKULELES	juu0 khql2 leel0 les1
ULAN	uu0 laan0
ULAND	uu0 lxxn0
ULANDER	uu0 laan0 dqq2
ULANOFF	uu0 laan0 n@@f3
ULANOVA	uu0 laan0 noo0 waa2
ULCER	al0 sqq2
ULCERABLE	al0 sqq0 ree0 bql2
ULCERANS	al0 sqq0 rxxn3
ULCERANT	al0 sqq0 rxxn3
ULCERANTS	al0 sqq0 rxxn3
ULCERATE	al0 sqq0 reet1
ULCERATED	al0 sqq0 reet3 thet1
ULCERATES	al0 sqq0 reet1
ULCERATING	al0 sqq0 reet3 ting2
ULCERATION	al0 sqq0 ree0 chan2
ULCERATIONS	al0 sqq0 ree0 chan2
ULCERATIVE	al0 sqq0 thiif1
ULCERED	al0 sqq2
ULCERING	al0 sqq0 ring2
ULCEROUS	al0 sqq0 rqqs2
ULCEROUSLY	al0 sqq0 ras3 lii2
ULCEROUSNESS	al0 sqq0 ras3 nees1
ULCERS	al0 sqq2
ULEMA	juu0 lee0 maa2
ULEMAS	juu0 lee0 maas2
ULEX	juu0 lek3
ULLAGE	al0 leec1
ULLAGED	al0 leec1
ULLAGES	al0 leec3 ces1
ULMAN	al0 mxxn0
ULMANS	al0 mxxn0
ULMAR	al0 maa2
ULMER	al0 mqq2
ULMERS	al0 mqq2
ULMUS	al0 mas3
ULNA	al0 naa2
ULNAE	al0 nii2
ULNAR	al0 naa2
ULNAS	al0 nas3
ULSTEIN	al0 sa1 taaj0
ULSTER	al0 sa1 tqq2
ULSTERED	al0 sa1 tqq2
