X	ek3
XEBEC	sii0 bek1
XEBECS	sii0 bek1
XENOGAMY	sii0 n@3 kq1 mii2
XENON	see0 n@@n2
XENONS	see0 n@@n2
XENOPHOBE	see0 nq1 f@@p3
XENOPHOBES	see0 nq1 f@@p3
XENOPHOBIA	see0 nq1 foo0 biia1
XENOPHOBIC	see0 nq1 f@@0 bik1
XENOPHOBICALLY	see0 nq1 f@@0 bik1 khxxl2 lii2
XENOPHOBICS	see0 nq1 f@@0 bik1
XEROX	sii0 r@k1
XEROXED	sii0 r@k1
XEROXES	sii0 r@k3 sees1
XEROXING	sii0 r@k3 sing2
XEROXS	sii0 r@k3 sees1
XMAS	ek3 sa1 mqq2
XMASES	ek3 sa1 mqs3 sees1
XYLOGRAPH	saaj0 lq1 kraaf3
XYLOGRAPHER	saaj0 l@1 kraaf3 fqq2
XYLOGRAPHY	saaj0 l@1 kraaf3 fii2
XYLONITE	saaj0 lq1 naj3
XYLOPHONE	saaj0 lq1 foon0
XYLOPHONES	saaj0 lq1 foon0
XYLOPHONIST	saaj0 lq1 fq1 nis3
XYLOPHONISTS	saaj0 lq1 fq1 nis3
